feature,importance
accidents_last_30_days,0.10959726977460173
accidents_same_month_last_year,0.08131621125909944
rolling_mean_30_days,0.0798551677050009
accidents_last_7_days,0.06832062733261775
lat,0.05386326925429054
day,0.04677866006401896
year,0.04536844901520465
rolling_mean_7_days,0.045020125753293595
rolling_std_7_days,0.04328742110281999
municipality_x_hour,0.0401824657534686
day_of_week,0.032637927201331435
barangay_encoded,0.032241304162409
month,0.03168796601581977
lng,0.03147156319789411
days_since_last_accident,0.03081101120469527
week_of_year,0.02945062374067761
day_of_year,0.02918918177779105
hour,0.023993388459178436
barangay_accident_freq,0.02339257929523313
days_to_holiday,0.01877400714381115
quarter,0.017889681253472123
week_of_month,0.015809903346545143
is_month_end,0.010457148301322208
is_rainy_season,0.008803169294180171
municipality_encoded,0.008125562507138993
accident_trend_7d,0.007859854728983415
is_business_hours,0.007267313143555233
municipality_accident_freq,0.006945991862922278
is_rush_hour,0.004423480530748683
is_school_hours,0.00433984401250433
is_rush_hour_evening,0.004227360927895785
is_month_start,0.0022538631540803644
is_high_risk_area,0.00211040697380978
is_payday_week,0.0018638637249282723
is_weekend,0.00038333702465614115
is_long_weekend,0.0
is_christmas_season,0.0
is_late_night,0.0
is_rush_hour_morning,0.0
is_public_holiday,0.0
weekend_x_evening,0.0
holiday_x_highrisk,0.0
